# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 03 16:57:09 AEDT 2020 [seed=1578031026503]
# BMtest_sigma1_1corr0_0D1.24N9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	clock.rate	meanRate	LOCATIONS.precision.col11	LOCATIONS.precision.col12	LOCATIONS.precision.col21	LOCATIONS.precision.col22	correlation	LOCATIONS.varCovar.LOCATIONS.precision.col11	LOCATIONS.varCovar.LOCATIONS.precision.col12	LOCATIONS.varCovar.LOCATIONS.precision.col21	LOCATIONS.varCovar.LOCATIONS.precision.col22	LOCATIONS.diffusionRate	LOCATIONS.lambda	treeLikelihood	branchRates	LOCATIONS.traitLikelihood	coalescent
27000	-15328.272395475706	-42.90595370696755	-15285.366441768738	3.5797781745649653	3.5797781745649653	24.07937836467152	64.94180462969133	1.6550741898682026	0.010079214692678556	0.010079214692678558	0.12223133561108902	-0.0977060676980894	-0.0977060676980894	0.15436025624483757	0.7113158906409014	16.560154370958358	10.48215132199084	10.482151321990838	13.113283405525252	0.5533406882113716	0.44536597916497606	-15212.287744331727	0.0	-73.078697437011	-38.439262291412966
28000	-15330.1507520377	-42.551619094160486	-15287.59913294354	3.597969637674917	3.597969637674917	24.1752430994944	72.33084460871798	1.6392227108378108	0.010807218933303877	0.010807218933303874	0.049235953636813046	-0.026098016639200385	-0.026098016639200385	0.11486866998980956	0.34702880948138776	23.091212678675888	5.246294335617017	5.246294335617017	9.897545405252242	0.6971882376772875	0.612797640045343	-15216.059341185954	0.0	-71.53979175758656	-38.30543704818307
29000	-15333.294577718381	-44.22839113024014	-15289.066186588141	3.747203957203191	3.747203957203191	24.40745256681124	133.33826591746532	1.892446061964361	0.009927630121524422	0.009927630121524422	0.05717684836982637	-0.032654421918798214	-0.032654421918798214	0.04655023580279495	0.6329522538940887	29.179895942500863	20.469340642863948	20.469340642863948	35.8411607799312	0.5868876562584211	0.2909527775787359	-15215.206719776143	0.0	-73.85946681199923	-39.644028763462615
30000	-15338.943640160845	-44.21544851619028	-15294.728191644655	3.7254000367430065	3.7254000367430065	25.14217619073021	86.44932278534887	1.7489378904723343	0.009752233302018534	0.009752233302018536	0.0764885038468944	-0.039734475625195775	-0.039734475625195775	0.16844617159226044	0.3500570516133345	14.899664048239508	3.5146559423234787	3.5146559423234787	6.765680692523173	0.4712018298745664	0.30065514061481674	-15220.077146100153	0.0	-74.65104554450193	-39.23364963845332
31000	-15336.961216449436	-46.55303736142535	-15290.40817908801	3.8155519256261856	3.8155519256261856	26.850073276800728	77.13710551845155	1.3534876699822007	0.008924700331513677	0.008924700331513677	0.10554124604074666	-0.028297931387052108	-0.028297931387052108	0.07391301487264981	0.32039307598426425	10.55885314301533	4.042504588424935	4.042504588424934	15.077108130349771	0.4970146151297793	0.20243708642555053	-15216.456141671444	0.0	-73.95203741656584	-42.150870926105064
32000	-15329.754446254252	-44.860579712223185	-15284.893866542028	3.4847272792613917	3.4847272792613917	23.213108249970908	28.528247187830345	1.506860634761286	0.011203316105807768	0.011203316105807765	0.08132331203370853	-0.021098666537326866	-0.021098666537326866	0.07073801613672645	0.2781768861715875	13.327945182906383	3.975258091750704	3.9752580917507045	15.32235004700567	0.9440389110693138	0.8519730235851235	-15213.5745256192	0.0	-71.31934092282839	-40.489282753955116
33000	-15326.306519728272	-41.25697565778748	-15285.049544070485	3.3465172286521385	3.3465172286521385	22.313034168689928	98.77212300961125	2.0506085481008274	0.011260947309249507	0.011260947309249503	0.08054030010916219	-0.04268360679949528	-0.04268360679949528	0.09270089935978396	0.4939835819946081	16.423901191057652	7.562292765165906	7.562292765165906	14.269396953282076	0.6319502159427645	0.3019236922147459	-15214.397439045666	0.0	-70.65210502481997	-36.09815461211196
34000	-15329.348135646074	-42.74076032699883	-15286.607375319076	3.681589066507344	3.681589066507344	24.26844019808886	69.22292730121067	1.6110818937271607	0.010301292854479142	0.01030129285447914	0.05576641549510972	0.005268964446275283	0.005268964446275283	0.07427863715331166	-0.08186663496358063	18.052933092891248	-1.280587074061436	-1.280587074061436	13.553659657024337	0.7469592673411911	0.6914099585718582	-15212.961300926645	0.0	-73.64607439243088	-38.59667061962076
35000	-15327.456015362879	-42.0502913373249	-15285.405724025553	3.588351293648559	3.588351293648559	24.01110615880132	73.67148466393259	1.6128679569511812	0.009973134204140841	0.009973134204140841	0.050348631298004765	-0.02813992381613427	-0.02813992381613427	0.06622389261419927	0.4873284100542636	26.04750955405939	11.068134256639897	11.068134256639896	19.803373118048928	0.576589935902695	0.32006700597619353	-15213.862301936755	0.0	-71.54342208879748	-38.148529758924475
36000	-15324.417501360962	-44.17954760275364	-15280.23795375821	3.6250148823389683	3.6250148823389683	24.450827018273355	113.82133782087186	1.7192924778736698	0.010038176505089412	0.010038176505089412	0.05836350790531783	-0.028840011730730232	-0.028840011730730232	0.10640178374061526	0.36597404390078425	19.783773367765992	5.362356117970662	5.362356117970663	10.851795644341989	0.8402248748558306	0.7578342255659082	-15209.611453170664	0.0	-70.62650058754494	-39.200556338811126
37000	-15325.49311340548	-42.97138806583705	-15282.521725339644	3.528132996953096	3.528132996953096	24.042042884183406	112.15596438437804	1.9247788709781353	0.010383755344452975	0.010383755344452975	0.08525466466991971	-0.03638491867722337	-0.03638491867722337	0.07879844885890028	0.4439187603672969	14.608339276646682	6.745351517538688	6.745351517538688	15.805248509968091	0.698141222160307	0.6118615420567739	-15211.593076261588	0.0	-70.92864907805519	-38.03067244287949
38000	-15327.56810806737	-43.83250681471188	-15283.735601252658	3.5362581438329204	3.5362581438329204	23.91452336585165	173.18057219739174	2.054910784388703	0.010599214408149272	0.010599214408149269	0.06923507324109708	-0.0489328087950743	-0.0489328087950743	0.1292257126767039	0.5173239673021307	19.721493087820765	7.46777116125499	7.46777116125499	10.56615583753875	0.5904465361628283	0.3439595955396698	-15212.640992667391	0.0	-71.09460858526637	-37.969056231116184
39000	-15334.282674244316	-43.48533254736524	-15290.79734169695	3.381855590262721	3.381855590262721	23.080135822415873	169.93714808289465	2.09822679138997	0.011439095272668565	0.011439095272668568	0.04686080227967587	-0.03230528072171847	-0.03230528072171847	0.08860409890513621	0.5013508468155844	28.504472028216753	10.392803290983352	10.392803290983352	15.075402202678305	0.4836888946413066	0.06343257415739356	-15219.499226452705	0.0	-71.29811524424579	-36.61439176871306
40000	-15331.544683837496	-44.102118733949375	-15287.442565103545	3.6087663917169537	3.6087663917169537	23.937524169475715	153.39548077682724	2.025258588080762	0.010325906717410375	0.010325906717410373	0.050171895662182074	-0.02068673706221034	-0.02068673706221034	0.08717501553506324	0.31279926396296814	22.093145312100862	5.2427302151131645	5.242730215113164	12.715282866824525	0.9783847818701962	0.8531252340562441	-15216.434513150445	0.0	-71.0080519530995	-38.18190999214731
41000	-15337.48821382587	-42.08095997559099	-15295.40725385028	3.397504188526307	3.397504188526307	24.013778720714072	63.09215567823497	1.7278334244789917	0.010325906717410375	0.010325906717410379	0.07318912635037045	-0.058600595766425755	-0.058600595766425755	0.10159612430487247	0.6795793588696437	25.38822994399358	14.643918853720303	14.643918853720304	18.28950052865441	0.7524260991316865	0.5740859404710541	-15224.089164618345	0.0	-71.31808923193645	-38.00478871730313
42000	-15327.916542908973	-42.88926596247978	-15285.027276946494	3.5287963639072903	3.5287963639072903	24.23978102174225	46.94268957707345	1.3916674422278843	0.009902881077830427	0.009902881077830428	0.11010195519973014	-0.07198997916918776	-0.07198997916918776	0.12397183033062364	0.6161877010398856	14.641793717491094	8.502434963738311	8.502434963738311	13.003680849331419	0.6163040725503127	0.41478813692772465	-15213.220951636164	0.0	-71.80632531033062	-38.93262804011796
43000	-15329.279890542757	-44.080059820991785	-15285.199830721765	3.825471420124553	3.825471420124553	25.254499886969704	30.99951380413982	1.1751921154534422	0.009792154620851434	0.00979215462085143	0.07476620776454553	-0.030401676516566514	-0.030401676516566514	0.0807361005131007	0.3913010130751048	15.793230229494032	5.9470382336688	5.9470382336688	14.625426854992192	0.6434940398020575	0.4245984341830356	-15214.202150779072	0.0	-70.99767994269264	-40.81624431399719
44000	-15329.777772759282	-43.644678632959675	-15286.133094126322	3.739971480369479	3.739971480369479	25.282451332089597	44.96378828411995	1.25603804153054	0.010352057019078306	0.010352057019078306	0.04426490946070169	-0.031888147539577014	-0.031888147539577014	0.08348146096987505	0.5245712445946835	31.16787905393706	11.905468761816334	11.905468761816335	16.52634403346726	0.7796711973851376	0.5338358688068265	-15214.454362848815	0.0	-71.6787312775073	-40.474172369431585
45000	-15324.562263463577	-43.737920930058166	-15280.824342533519	3.6194921910510187	3.6194921910510187	24.36942161954976	39.0068959680464	1.2485587130104616	0.010314764551425588	0.010314764551425581	0.090350825815206	-0.053016515533533794	-0.053016515533533794	0.14324761307607076	0.4660166358976852	14.138432017444575	5.232690336519655	5.232690336519654	8.917558771676712	0.7283852083078113	0.6852445979773711	-15208.99837533427	0.0	-71.82596719924966	-39.76703595569443
46000	-15322.96631655799	-45.35481404913805	-15277.611502508851	3.50233649195118	3.50233649195118	23.59296379567914	29.977964347089653	1.5392690453448745	0.01028539293009095	0.01028539293009095	0.08750890359307985	-0.05161201759869154	-0.05161201759869154	0.07585899121134175	0.6334628988618365	19.086247091956448	12.985668607938871	12.98566860793887	22.0173842289904	0.639658120787408	0.39509010539678907	-15205.96755234627	0.0	-71.64395016258011	-41.783067303342456
47000	-15328.167295262047	-43.701178295737485	-15284.466116966309	3.7100569118763103	3.7100569118763103	24.275722855623037	68.13062691660558	1.484212333102651	0.010405395533635623	0.010405395533635623	0.0691813035222578	-0.03298830115627129	-0.03298830115627129	0.0668852497946776	0.484953841169578	18.899579976098398	9.321412985560546	9.321412985560546	19.548369525169864	1.0333431579448564	0.8152215040844792	-15213.022573777005	0.0	-71.44354318930283	-39.411599979032864
48000	-15329.775034929928	-43.49965050494657	-15286.275384424982	3.586850181878707	3.586850181878707	23.567113165361476	108.25948939126735	1.6828299176862325	0.010262968299655532	0.010262968299655529	0.04101461931796443	-0.039530586846206396	-0.039530586846206396	0.11601635453594891	0.5730655634557483	36.303901880382874	12.369933117437725	12.369933117437725	12.83431737996264	0.6992698173948094	0.453578674004102	-15213.728550292739	0.0	-72.54683413224215	-39.15145046934184
49000	-15326.875460031775	-43.46589404085425	-15283.409565990922	3.650370054024024	3.650370054024024	24.39472165770073	92.36456159003608	1.8523413887346225	0.010145190247860326	0.01014519024786033	0.07684631394116903	-0.03193152676014674	-0.03193152676014674	0.08805385578170416	0.38818073218248944	15.321729728085172	5.556215778182233	5.556215778182232	13.371571776767322	0.8891067473103883	0.8363795966953165	-15212.466578054184	0.0	-70.94298793673798	-38.233242445518194
50000	-15330.495899576454	-41.85545192711966	-15288.640447649334	3.525885370798702	3.525885370798702	23.467220424180688	71.39374497506576	1.770762080572305	0.010453974434923996	0.010453974434923996	0.08833255048990643	-0.038992220929719	-0.038992220929719	0.058950701377510364	0.5403474410713406	15.989351726334384	10.57596127726588	10.57596127726588	23.958666914285875	0.8061267220655602	0.7167540730849853	-15216.243353659194	0.0	-72.39709399013987	-37.507052887709875
51000	-15327.381038912372	-42.960509384005064	-15284.420529528366	3.5287559817035	3.5287559817035	23.710463798443953	75.16898497907651	1.552387326146588	0.010622537874458287	0.010622537874458287	0.05257670302175831	-0.03222159683113343	-0.03222159683113343	0.08502003070124824	0.48193642985316526	24.773879608418166	9.389010496720136	9.389010496720136	15.320259239208587	0.7779287851696911	0.6403643374691629	-15213.482398633605	0.0	-70.938130894762	-38.950115675052906
52000	-15326.300394417094	-42.922825652252186	-15283.377568764841	3.503455904229516	3.503455904229516	24.087675856322072	56.91414367759456	1.650312781747644	0.010604202857731693	0.010604202857731695	0.05814025178268855	-0.05281694331402974	-0.05281694331402974	0.1448031855323591	0.5756330903579914	25.723288389826017	9.38256613444646	9.38256613444646	10.32821521270319	0.7003882747233626	0.37148089492609476	-15211.563786811013	0.0	-71.81378195382754	-38.735866199843734
53000	-15330.521242061981	-42.04419715325935	-15288.477044908721	3.3263914002488026	3.3263914002488026	22.792384278021323	60.09616932074099	1.5669877796846092	0.011145539307884799	0.011145539307884793	0.0913990775212154	-0.07051038736526112	-0.07051038736526112	0.1521706055465743	0.5978838327554173	17.027914092778925	7.89012315743696	7.8901231574369595	10.227570788723419	0.5984969959542012	0.304480402688839	-15216.749752816844	0.0	-71.72729209187591	-37.50861237616888
54000	-15330.805596539709	-42.705244105242144	-15288.100352434467	3.528706618164224	3.528706618164224	23.647160603922078	25.713519548994135	1.23676986580421	0.010672054500777557	0.01067205450077756	0.09303521625113978	-0.07554015138016627	-0.07554015138016627	0.09419290313679446	0.8069471160366926	30.812780664931857	24.711013657711383	24.711013657711383	30.434073236894097	0.5594983839691081	0.24740433971316195	-15214.628764600024	0.0	-73.47158783444253	-39.32131053063738
55000	-15326.783542580093	-44.072479807551126	-15282.711062772541	3.6479007059158763	3.6479007059158763	25.193939798111522	51.62662951161596	1.4974896987338961	0.010191713700665486	0.010191713700665484	0.05903559831666507	-0.05151058925121485	-0.05151058925121485	0.09669412266966304	0.6817725239534055	31.65053851633641	16.860775444072203	16.860775444072203	19.32390952798625	0.4971938449738481	0.0925294638635561	-15211.358186602267	0.0	-71.35287617027545	-39.43869089380324
56000	-15329.410685957171	-43.90047180953095	-15285.51021414764	3.5257136774438376	3.5257136774438376	23.60340480825441	99.35917530847338	1.6478644102927429	0.010415140956955775	0.010415140956955778	0.0894878122190891	-0.08136716956445224	-0.08136716956445224	0.1647411197392173	0.6701411040281869	20.284053326760596	10.018482386823447	10.018482386823447	11.018351447535	0.588448209719473	0.40262469823968183	-15213.286454090972	0.0	-72.22376005666825	-39.1207115065604
57000	-15324.290140497178	-44.33660511358746	-15279.95353538359	3.5394022499358533	3.5394022499358533	24.44192233006289	32.27952181371969	1.2458485036110667	0.009708012108682164	0.009708012108682166	0.06309762422209048	-0.02741707589496149	-0.02741707589496149	0.06763456438997896	0.4196916047778442	19.23685737311345	7.7980598135906005	7.798059813590601	17.946445115605783	1.05094588647773	0.9286172344062503	-15208.621396924773	0.0	-71.332138458818	-39.882392142838846
