# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 03 16:02:01 AEDT 2020 [seed=1578027717651]
# -overwrite BMtest_sigma1_1corr0_0D1.29N7.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	clock.rate	meanRate	LOCATIONS.precision.col11	LOCATIONS.precision.col12	LOCATIONS.precision.col21	LOCATIONS.precision.col22	correlation	LOCATIONS.varCovar.LOCATIONS.precision.col11	LOCATIONS.varCovar.LOCATIONS.precision.col12	LOCATIONS.varCovar.LOCATIONS.precision.col21	LOCATIONS.varCovar.LOCATIONS.precision.col22	LOCATIONS.diffusionRate	LOCATIONS.lambda	treeLikelihood	branchRates	LOCATIONS.traitLikelihood	coalescent
1474000	-15569.997797378779	-44.5650568291242	-15525.432740549655	3.4705909532697925	3.4705909532697925	23.369594251166518	182.72369942054104	1.9218471292464605	0.011158000401963731	0.01115800040196373	0.11121896144853755	0.03579281884243424	0.03579281884243424	0.03882871529201448	-0.5446656338145932	12.783690586825601	-11.784173590880645	-11.784173590880645	36.61694135006815	0.826195276577902	0.48912062788948907	-15452.689240337515	0.0	-72.74350021214093	-39.205375775296496
1475000	-15570.054321172905	-42.56098768741547	-15527.49333348549	3.413802393639275	3.413802393639275	23.925836173780855	144.89982449615226	2.10371076996807	0.01036502355579143	0.010365023555791426	0.206285184040435	0.060674221896816344	0.060674221896816344	0.059312296828686925	-0.5485267681347782	6.933958534763571	-7.093175635681791	-7.093175635681791	24.11595889809878	0.8142823191751114	0.5849890365912885	-15453.471508256574	0.0	-74.02182522891594	-36.85475179645335
1476000	-15565.038385417036	-41.37873990130006	-15523.659645515736	3.5548774094267683	3.5548774094267683	23.04677787233674	81.00954235729664	1.8962446107606867	0.011300436252393986	0.011300436252393986	0.14011052254789053	0.011464466112745158	0.011464466112745158	0.014598997261991624	-0.2534877315743902	7.62732426253805	-5.989671685633103	-5.989671685633103	73.20149246473795	0.8369111554470333	0.5083016908119738	-15446.907679948587	0.0	-76.75196556714917	-37.27757902897794
1477000	-15570.044876009933	-41.04950807751888	-15528.995367932415	3.282858436054272	3.282858436054272	22.40330792933145	133.46329967404824	2.041891626136663	0.011089781865914633	0.011089781865914633	0.19998601573281688	0.05353332171958197	0.05353332171958197	0.056529010673843916	-0.5034874914659354	6.698388900071558	-6.3434155969817185	-6.343415596981718	23.697285552780155	0.8608616904317116	0.5317857201769428	-15455.07445557333	0.0	-73.92091235908416	-35.48889123626464
1478000	-15566.43645380416	-42.446292915355315	-15523.990160888803	3.493620970510969	3.493620970510969	23.92219280103353	67.16599096432182	1.5458623837782035	0.010997041691884521	0.010997041691884524	0.17512700971012757	0.07294667294456456	0.07294667294456456	0.05936488751827601	-0.7154249767213327	11.69710419818988	-14.373224139962616	-14.373224139962616	34.5065739384435	0.6173118994116928	0.26538199577942345	-15450.713664382072	0.0	-73.27649650673112	-38.08767921507714
1479000	-15567.99932290988	-40.50318572220347	-15527.496137187676	3.3826988199197263	3.3826988199197263	22.541275553347127	86.46472394004716	1.9764010479078826	0.011261134501769807	0.011261134501769809	0.09580366085348437	0.025276579498846985	0.025276579498846985	0.03534777808626458	-0.43435636634046954	12.865241011155232	-9.199709424357104	-9.199709424357104	34.868873048345655	0.709210467961984	0.31394498509447033	-15455.00187455423	0.0	-72.49426263344598	-35.946836782812866
1480000	-15564.060820714898	-40.96173980696291	-15523.099080907936	3.398297901092421	3.398297901092421	22.55238264908504	130.57682042120604	2.1472906130546927	0.011485585233758087	0.011485585233758087	0.18684333458584926	0.03256375900864028	0.03256375900864028	0.02945751611736866	-0.43893242589072773	6.629286995484081	-7.328333565530099	-7.328333565530099	42.04828686939186	0.7234765963373322	0.33976168641660787	-15449.843406355032	0.0	-73.25567455290343	-35.53629423182366
1481000	-15568.751583462397	-41.568215909916795	-15527.183367552481	3.399723883954643	3.399723883954643	23.5062303139919	120.52900694191652	1.9863561485020382	0.010961511501843244	0.010961511501843248	0.19632468335206293	0.06122359522685234	0.06122359522685234	0.040556567802272014	-0.686121105796847	9.624412218227445	-14.528870411763972	-14.528870411763972	46.589486822585044	0.6041606742823125	0.2434775055914348	-15454.2807315982	0.0	-72.90263595428004	-36.26875991150694
1482000	-15563.797134020928	-39.89708249551538	-15523.900051525412	3.307887845337647	3.307887845337647	22.570884624948125	72.33349820897708	1.805470393195575	0.011379996535504545	0.011379996535504543	0.15820398319007148	0.037259021207594466	0.037259021207594466	0.02968029199713703	-0.5437367040256272	8.974160297598926	-11.265671809456723	-11.265671809456723	47.83470139051518	0.988971037297234	0.503902379915889	-15451.009949539286	0.0	-72.89010198612581	-35.673266195328445
1483000	-15563.057196298745	-41.068619268974885	-15521.98857702977	3.3641809543494805	3.3641809543494805	23.231943965287083	45.54239557461692	1.5220782397856025	0.011038219429375658	0.011038219429375657	0.11129437183191578	0.022487126214588427	0.022487126214588427	0.030733133507198147	-0.3844978670148257	10.5439889991287	-7.7149312279890285	-7.714931227989028	38.183110485164526	0.6628213878194799	0.29651772418420796	-15449.569145328926	0.0	-72.41943170084326	-37.33130087442897
